"X1" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
"18822" "2015" "MONTANA" "30" "Jefferson" "43" "30043" 323447 "011916"
"18823" "2015" "MONTANA" "30" "Judith-Basin" "45" "30045" 293059 "011916"
"18824" "2015" "MONTANA" "30" "Lake" "47" "30047" 420415 "011916"
"18825" "2015" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 403608 "011916"
"18826" "2015" "MONTANA" "30" "Liberty" "51" "30051" 11742484 "011916"
"18827" "2015" "MONTANA" "30" "Lincoln" "53" "30053" 31620 "011916"
"18828" "2015" "MONTANA" "30" "Madison" "57" "30057" 130406 "011916"
"18829" "2015" "MONTANA" "30" "McCone" "55" "30055" 1958224 "011916"
"18830" "2015" "MONTANA" "30" "Meagher" "59" "30059" 93465 "011916"
"18831" "2015" "MONTANA" "30" "Mineral" "61" "30061" 5571 "011916"
"18832" "2015" "MONTANA" "30" "Missoula" "63" "30063" 32233 "011916"
"18833" "2015" "MONTANA" "30" "Musselshell" "65" "30065" 320915 "011916"
"18834" "2015" "MONTANA" "30" "Park" "67" "30067" 60814 "011916"
"18835" "2015" "MONTANA" "30" "Petroleum" "69" "30069" 43193 "011916"
"18836" "2015" "MONTANA" "30" "Phillips" "71" "30071" 1651710 "011916"
"18837" "2015" "MONTANA" "30" "Pondera" "73" "30073" 3674315 "011916"
"18838" "2015" "MONTANA" "30" "Powder-River" "75" "30075" 777737 "011916"
"18839" "2015" "MONTANA" "30" "Powell" "77" "30077" 0 "011916"
"18840" "2015" "MONTANA" "30" "Prairie" "79" "30079" 612226 "011916"
"18841" "2015" "MONTANA" "30" "Ravalli" "81" "30081" 86674 "011916"
"18842" "2015" "MONTANA" "30" "Richland" "83" "30083" 1252260 "011916"
"18843" "2015" "MONTANA" "30" "Roosevelt" "85" "30085" 3014427 "011916"
"18844" "2015" "MONTANA" "30" "Rosebud" "87" "30087" 653652 "011916"
"18845" "2015" "MONTANA" "30" "Sanders" "89" "30089" 60515 "011916"
"18846" "2015" "MONTANA" "30" "Sheridan" "91" "30091" 2631622 "011916"
"18847" "2015" "MONTANA" "30" "Silver-Bow" "93" "30093" 0 "011916"
"18848" "2015" "MONTANA" "30" "Stillwater" "95" "30095" 317155 "011916"
"18849" "2015" "MONTANA" "30" "Sweet-Grass" "97" "30097" 71319 "011916"
"18850" "2015" "MONTANA" "30" "Teton" "99" "30099" 2388163 "011916"
"18851" "2015" "MONTANA" "30" "Toole" "101" "30101" 7205258 "011916"
"18852" "2015" "MONTANA" "30" "Treasure" "103" "30103" 141853 "011916"
"18853" "2015" "MONTANA" "30" "Valley" "105" "30105" 5994827 "011916"
"18854" "2015" "MONTANA" "30" "Wheatland" "107" "30107" 595779 "011916"
"18855" "2015" "MONTANA" "30" "Wibaux" "109" "30109" 252823 "011916"
"18856" "2015" "MONTANA" "30" "Yellowstone" "111" "30111" 1851901 "011916"
"21708" "2014" "MONTANA" "30" "Beaverhead" "1" "30001" 87686 "012015"
"21709" "2014" "MONTANA" "30" "Big-Horn" "3" "30003" 1340649 "012015"
"21710" "2014" "MONTANA" "30" "Blaine" "5" "30005" 5770533 "012015"
"21711" "2014" "MONTANA" "30" "Broadwater" "7" "30007" 486560 "012015"
"21712" "2014" "MONTANA" "30" "Carbon" "9" "30009" 91180 "012015"
"21713" "2014" "MONTANA" "30" "Carter" "11" "30011" 376716 "012015"
"21714" "2014" "MONTANA" "30" "Cascade" "13" "30013" 1092025 "012015"
"21715" "2014" "MONTANA" "30" "Chouteau" "15" "30015" 8711838 "012015"
"21716" "2014" "MONTANA" "30" "Custer" "17" "30017" 167966 "012015"
"21717" "2014" "MONTANA" "30" "Daniels" "19" "30019" 3264987 "012015"
"21718" "2014" "MONTANA" "30" "Dawson" "21" "30021" 1605076 "012015"
"21719" "2014" "MONTANA" "30" "Deer-Lodge" "23" "30023" 0 "012015"
"21720" "2014" "MONTANA" "30" "Fallon" "25" "30025" 813545 "012015"
"21721" "2014" "MONTANA" "30" "Fergus" "27" "30027" 3671989 "012015"
"21722" "2014" "MONTANA" "30" "Flathead" "29" "30029" 17609 "012015"
"21723" "2014" "MONTANA" "30" "Gallatin" "31" "30031" 254539 "012015"
"21724" "2014" "MONTANA" "30" "Garfield" "33" "30033" 505580 "012015"
"21725" "2014" "MONTANA" "30" "Glacier" "35" "30035" 2153949 "012015"
"21726" "2014" "MONTANA" "30" "Golden-Valley" "37" "30037" 248094 "012015"
"21727" "2014" "MONTANA" "30" "Granite" "39" "30039" 0 "012015"
"21728" "2014" "MONTANA" "30" "Hill" "41" "30041" 6988160 "012015"
"21729" "2014" "MONTANA" "30" "Jefferson" "43" "30043" 28356 "012015"
"21730" "2014" "MONTANA" "30" "Judith-Basin" "45" "30045" 932735 "012015"
"21731" "2014" "MONTANA" "30" "Lake" "47" "30047" 118124 "012015"
"21732" "2014" "MONTANA" "30" "Lewis-and-Clark" "49" "30049" 588902 "012015"
"21733" "2014" "MONTANA" "30" "Liberty" "51" "30051" 1634566 "012015"
"21734" "2014" "MONTANA" "30" "Madison" "57" "30057" 171695 "012015"
"21735" "2014" "MONTANA" "30" "McCone" "55" "30055" 1837776 "012015"
"21736" "2014" "MONTANA" "30" "Meagher" "59" "30059" 62484 "012015"
"21737" "2014" "MONTANA" "30" "Mineral" "61" "30061" 7701 "012015"
"21738" "2014" "MONTANA" "30" "Missoula" "63" "30063" 12127 "012015"
"21739" "2014" "MONTANA" "30" "Musselshell" "65" "30065" 87315 "012015"
"21740" "2014" "MONTANA" "30" "Park" "67" "30067" 36413 "012015"
"21741" "2014" "MONTANA" "30" "Petroleum" "69" "30069" 392583 "012015"
"21742" "2014" "MONTANA" "30" "Phillips" "71" "30071" 2756269 "012015"
"21743" "2014" "MONTANA" "30" "Pondera" "73" "30073" 1598560 "012015"
"21744" "2014" "MONTANA" "30" "Powder-River" "75" "30075" 215132 "012015"
"21745" "2014" "MONTANA" "30" "Powell" "77" "30077" 0 "012015"
"21746" "2014" "MONTANA" "30" "Prairie" "79" "30079" 263579 "012015"
"21747" "2014" "MONTANA" "30" "Ravalli" "81" "30081" 31131 "012015"
"21748" "2014" "MONTANA" "30" "Richland" "83" "30083" 601391 "012015"
"21749" "2014" "MONTANA" "30" "Roosevelt" "85" "30085" 3794199 "012015"
"21750" "2014" "MONTANA" "30" "Rosebud" "87" "30087" 1232797 "012015"
"21751" "2014" "MONTANA" "30" "Sanders" "89" "30089" 22271 "012015"
"21752" "2014" "MONTANA" "30" "Sheridan" "91" "30091" 3762333 "012015"
